,0
Start,2015-01-01 00:00:00+00:00
End,2025-08-31 00:00:00+00:00
Duration,3895 days 00:00:00
Exposure Time [%],98.84496919917865
Equity Final [$],64.27014576485013
Equity Peak [$],1267.1439082574911
Commissions [$],571.4155282502617
Return [%],542.7014576485012
Buy & Hold Return [%],46272.71887627075
Return (Ann.) [%],19.041673010099224
Volatility (Ann.) [%],82.26632813269133
CAGR [%],19.04700031106983
Sharpe Ratio,0.23146375245271664
Sortino Ratio,0.4509870253761948
Calmar Ratio,0.19823421991020182
Alpha [%],-5045.854548675645
Beta,0.12077431674735736
Max. Drawdown [%],-96.05643777711497
Avg. Drawdown [%],-11.801671628388863
Max. Drawdown Duration,1696 days 00:00:00
Avg. Drawdown Duration,71 days 00:00:00
# Trades,169
Win Rate [%],44.37869822485207
Best Trade [%],280.7892765669975
Worst Trade [%],-20.126053735117942
Avg. Trade [%],3.1471076080896276
Max. Trade Duration,105 days 00:00:00
Avg. Trade Duration,23 days 00:00:00
Profit Factor,2.445447337213954
Expectancy [%],5.959762266818354
SQN,0.7254808750101114
Kelly Criterion,0.12019584840713371
_strategy,BTSMA
_equity_curve,"                              Equity  DrawdownPct DrawdownDuration
2015-01-01 00:00:00+00:00  10.000000     0.000000              NaT
2015-01-02 00:00:00+00:00  10.000000     0.000000              NaT
2015-01-03 00:00:00+00:00  10.000000     0.000000              NaT
2015-01-04 00:00:00+00:00  10.000000     0.000000              NaT
2015-01-05 00:00:00+00:00  10.000000     0.000000              NaT
...                              ...          ...              ...
2025-08-27 00:00:00+00:00  62.655071     0.950554              NaT
2025-08-28 00:00:00+00:00  61.939467     0.951119              NaT
2025-08-29 00:00:00+00:00  64.175944     0.949354              NaT
2025-08-30 00:00:00+00:00  63.961040     0.949523              NaT
2025-08-31 00:00:00+00:00  64.270146     0.949280        1696 days

[3896 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL  ... Duration   Tag  Entry_SMA(C,11) Exit_SMA(C,11) Entry_SMA(C,22) Exit_SMA(C,22)
0    42535        29       38    0.000233   0.000228  0.000187  ...   9 days  None         0.000240       0.000226        0.000236       0.000231
1   -41692        38       48    0.000228   0.000244  0.000273  ...  10 days  None         0.000226       0.000231        0.000231       0.000229
2    35419        48       81    0.000244   0.000268  0.000195  ...  33 days  None         0.000231       0.000273        0.000229       0.000278
3   -34717        81      120    0.000268   0.000236  0.000322  ...  39 days  None         0.000273       0.000230        0.000278       0.000229
4    43341       120      141    0.000236   0.000235  0.000189  ...  21 days  None         0.000230       0.000236        0.000229       0.000237
..     ...       ...      ...         ...        ...       ...  ...      ...   ...              ...            ...             ...            ...
164    816      3820     3825    0.106794   0.102212  0.085437  ...   5 days  None         0.106826       0.104597        0.106083       0.105403
165   -800      3825     3836    0.102212   0.108845  0.122709  ...  11 days  None         0.104597       0.107281        0.105403       0.105939
166    687      3836     3866    0.108845   0.113320  0.087087  ...  30 days  None         0.107281       0.117040        0.105939       0.117742
167   -674      3866     3878    0.113320   0.123339  0.135984  ...  12 days  None         0.117040       0.117713        0.117742       0.117170
168    552      3878     3889    0.123339   0.113457  0.098675  ...  11 days  None         0.117713       0.114905        0.117170       0.116309

[169 rows x 17 columns]"
