,0,1,2,3,4,5,6,7,8
Start,2015-01-01 00:00:00+00:00,2017-11-09 00:00:00+00:00,2017-11-09 00:00:00+00:00,2020-08-20 00:00:00+00:00,2020-09-29 00:00:00+00:00,2020-02-07 00:00:00+00:00,2021-04-14 00:00:00-04:00,2015-01-02 00:00:00-05:00,2015-01-02 00:00:00-05:00
End,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00
Duration,3895 days 00:00:00,2852 days 00:00:00,2852 days 00:00:00,1837 days 00:00:00,1797 days 00:00:00,2032 days 00:00:00,1598 days 00:00:00,3891 days 23:00:00,3891 days 23:00:00
Exposure Time [%],59.41991786447639,37.083771468629514,41.289870311952335,18.607181719260065,43.882091212458285,90.35907525823905,16.348773841961854,56.24766878030586,66.57963446475196
Equity Final [$],1642.4811351340456,19.430831305107574,3.047650443193763,1.8547793339811842,152.323902288426,6.047817509997808,2.71860744228448,58.438218842984426,3.3309336736221917
Equity Peak [$],1956.3824310498114,110.15380156986183,13.459199600064483,10.0,875.642240915064,11.677870555328369,11.716994579683757,66.62483211545906,10.126242406136525
Commissions [$],657.6872939434589,25.207750493347483,7.598210470928431,4.022049127133016,164.4496145892386,6.247235311298584,2.405062556289774,19.744096611469047,6.947127647285363
Return [%],16324.811351340457,94.30831305107574,-69.52349556806237,-81.45220666018815,1423.23902288426,-39.521824900021926,-72.8139255771552,484.3821884298443,-66.69066326377808
Buy & Hold Return [%],41251.33806249768,316.04849077730984,6389.664175063619,-18.29022973845055,440.26740307615046,97.26303104880438,24.627601810548118,32469.71671911618,685.5284574779294
Return (Ann.) [%],61.27275184504113,8.870017062958802,-14.102441376368635,-28.43618083893602,73.82244823623098,-8.633130602366801,-25.778175762522583,18.04986957243335,-9.81720404061932
Volatility (Ann.) [%],91.08978244635203,59.82775346714339,36.26460014406769,18.917614979837168,180.61339296377503,13.848262216392767,23.113294542567708,42.49014615390693,22.650882963865698
CAGR [%],61.29254165461375,8.873261242379527,-14.107019689959122,-28.44921387226782,73.8759345967538,-8.637190189147814,-18.567443070980495,12.10959440123811,-6.870627809167051
Sharpe Ratio,0.6726632801118846,0.14825923670742705,-0.3888762407511494,-1.5031588743741724,0.40873186104774234,-0.6234089496187762,-1.115296467798953,0.42480130586168113,-0.4334137462226273
Sortino Ratio,1.7836007424966536,0.25338370296558055,-0.4959944524452573,-1.3756311120283027,1.6211220908758934,-0.7626088210982168,-1.0923895136440525,0.7863074148217852,-0.5397940654656355
Calmar Ratio,0.8370571708914366,0.10769776349066927,-0.18230483328938327,-0.3491149227861856,0.8936874755055327,-0.16555758029544798,-0.3356632039404664,0.32250174517866215,-0.14409142509470593
