Período,Return [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Avg. Trade [%]
COMPLETO,118.45135756003869,0.2280554758635159,0.41534415665321023,-84.44816148640975,14.673913043478262,184,2.4471428095718117
Año 2015,-2.035237429239615,-0.09475421089836138,-0.14730220311016456,-34.41436291696063,5.88235294117647,17,1.9287085648482138
Año 2016,21.710724679445164,0.7429502784017165,1.5152282900512746,-22.937362276548477,16.666666666666664,12,-0.08100964415856948
Año 2017,195.31889386684486,1.7529742414493152,9.811033099676802,-14.49883647593888,50.0,8,16.802095527249563
Año 2018,-12.681178107612508,-0.5118830605985392,-0.668648622831899,-34.417769697307,13.333333333333334,15,1.0789327840162732
Año 2019,45.46447891239845,0.927140408270806,2.459993812788328,-13.44704615486203,23.52941176470588,17,4.258954866652087
Año 2020,204.16043689066493,1.3971882276077954,10.190580596536234,-20.015330385281082,35.714285714285715,14,10.422406078650347
Año 2021,-48.65896891943013,-5.392051592574669,-2.9567390980408974,-48.65896891943014,0.0,22,-1.0158351501056817
Año 2022,-20.104432312876597,-0.9732209092507073,-1.2527800382395713,-24.287942337047586,11.76470588235294,17,0.6263611006625203
Año 2023,-33.62456662144004,-3.4054478940860093,-2.518235562829367,-33.624566621440046,6.25,16,-0.5589799566369402
Año 2024,-27.36889678189533,-1.899274073038704,-1.8132906481407352,-30.733002293614074,7.6923076923076925,13,-0.8127407772237971
Año 2025,-17.950529847100825,-0.9790545837295127,-1.1234447335409146,-31.404922055225516,11.76470588235294,17,0.848420375759118
