Período,Return [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Avg. Trade [%]
COMPLETO,222.17034155916417,0.3936448322642349,0.7650496119672457,-39.926558991893536,25.581395348837212,43,4.852581676673506
Período 1 (2015-01-01 a 2015-06-29),-5.9876638049270525,-0.7215373932726391,-0.8291484520080215,-11.545458043710887,0.0,1,-4.007473829404762
Período 2 (2015-06-30 a 2015-12-26),0.0,,,-0.0,,0,
Período 3 (2015-12-27 a 2016-06-23),0.0,,,-0.0,,0,
Período 4 (2016-06-24 a 2016-12-20),15.186502471688854,1.2326854224352477,2.5475642219491244,-7.036543631060743,50.0,2,9.462422575638918
Período 5 (2016-12-21 a 2017-06-18),0.0,,,-0.0,,0,
Período 6 (2017-06-19 a 2017-12-15),-6.1977551587172,-1.0356261279152086,-1.0196356517938607,-11.231828915065634,0.0,1,-4.3030657873572515
Período 7 (2017-12-16 a 2018-06-13),0.0,,,-0.0,,0,
Período 8 (2018-06-14 a 2018-12-10),0.0,,,-0.0,,0,
Período 9 (2018-12-11 a 2019-06-08),43.15229867326056,1.6683836972117645,9.649338659583103,-6.493458023203324,100.0,1,46.04554460469039
Período 10 (2019-06-09 a 2019-12-05),-5.978176619512496,-1.3087231226998275,-1.2632038317928178,-7.917529440507165,0.0,1,-3.998460434711637
Período 11 (2019-12-06 a 2020-06-02),-5.755211343078102,-2.5834720264104076,-2.281109782296921,-5.755211343078104,0.0,1,-3.8516309683988337
Período 12 (2020-06-03 a 2020-11-29),34.74374763952966,1.7904446361254882,8.060012903675686,-6.00414843510001,50.0,2,18.476281385421878
Período 13 (2020-11-30 a 2021-05-28),0.0,,,-0.0,,0,
Período 14 (2021-05-29 a 2021-11-24),-16.84556519361564,-2.3619015333012463,-1.8293890294521733,-16.84556519361564,0.0,3,-4.037864791366951
Período 15 (2021-11-25 a 2022-05-23),18.184747306909372,1.1929080915716623,3.3517946799003164,-6.649789669653128,0.0,1,-3.982133788175901
Período 16 (2022-05-24 a 2022-11-19),0.0,,,-0.0,,0,
Período 17 (2022-11-20 a 2023-05-18),9.745152774331274,0.5930555508987908,1.1991653821856616,-14.671729181341142,40.0,5,3.8915339012859596
Período 18 (2023-05-19 a 2023-11-14),10.56293981041172,0.9538916835516137,2.462815461927065,-6.6836482110726685,0.0,1,-4.006885769794
Período 19 (2023-11-15 a 2024-05-12),0.0,,,-0.0,,0,
Período 20 (2024-05-13 a 2024-11-08),13.036904339062502,1.2508585637949945,3.9435627213630795,-6.74697655741161,,0,
Período 21 (2024-11-09 a 2025-05-07),0.2026444874999811,0.08350156523314552,0.1107668981477572,-2.6006222624999964,,0,
Período 22 (2025-05-08 a 2025-11-03),-5.316333094118761,-1.234181115087231,-1.4261780895446683,-8.835540437868739,0.0,1,-3.9996994039556255
Período 23 (2025-11-04 a 2025-11-25),0.0,,,-0.0,,0,
