Período,Return [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Avg. Trade [%]
COMPLETO,222.17034155916417,0.3936448322642349,0.7650496119672457,-39.926558991893536,25.581395348837212,43,4.852581676673506
Año 2015,24.037522347453574,0.7078131868975521,1.4981984070780114,-22.82467407427019,25.0,4,7.687685668383071
Año 2016,24.24016265639169,1.1227872194422663,2.346598136838812,-7.462156070240966,33.33333333333333,3,3.492381420704671
Año 2017,-11.877951871841589,-1.2937779799991,-1.1671518394584108,-13.690036976273124,0.0,2,-4.186211609184653
Año 2018,-26.749772170187498,-3.0999511099598536,-2.2627241728864727,-26.7497721701875,0.0,5,-4.088147354419935
Año 2019,19.234342900229493,0.8453872895237942,1.6962808684468114,-18.074519001094234,25.0,4,6.650989278416253
Año 2020,-1.3378069182390675,-0.18138234728618652,-0.2227161947183129,-5.990476815387513,0.0,1,-4.010962544395569
Año 2021,1.2443888830015766,0.082115689096164,0.13223734927524422,-8.375977759997467,0.0,1,-3.9423119661651795
Año 2022,-11.54938037302658,-1.7933504154935453,-1.6175770406669576,-12.712041989984524,0.0,2,-4.012448144265212
Año 2023,30.485065609147284,1.0317623115162666,2.3978472844148113,-13.522403815651485,33.33333333333333,3,10.389629545129232
Año 2024,20.642099305478126,0.6675854069383125,1.401589814409438,-24.68621796139443,33.33333333333333,6,5.260527714327523
Año 2025,-5.992423897515621,-1.2875923989427969,-1.2303182724812691,-5.99242389751562,0.0,1,-4.015450025257161
